host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,property_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
2920.0,,,0.0,1.0,1.0,1.0,47.63602477658138,-122.35869359564737,1,House,10,3.5,5.0,5.0,,700.0,500.0,250.0,1,0.0,3,30,1,24,54,84,359,5,2857.0,2823.0,85.0,10.0,9.0,9.0,9.0,8.0,8.0,0,0,flexible,0,0,1,0.82
3311.0,1.0,1.0,0.0,1.0,1.0,1.0,47.62794033813239,-122.36495872243864,0,Condominium,1,1.0,1.0,1.0,,110.0,,,1,0.0,1,1125,1,29,55,85,360,1,2677.0,2677.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,flexible,0,0,1,1.0
3151.0,1.0,1.0,0.0,1.0,1.0,0.0,47.636374262238846,-122.36103343324052,1,House,3,1.5,1.0,2.0,,99.0,,15.0,1,10.0,1,1125,1,30,60,90,365,11,3140.0,2754.0,84.0,9.0,9.0,9.0,9.0,10.0,8.0,0,0,moderate,0,0,1,0.71
2756.0,1.0,1.0,0.0,1.0,1.0,0.0,47.63563222417987,-122.35888090262146,1,House,8,2.0,4.0,4.0,,450.0,,,1,0.0,4,1125,1,0,0,0,53,1,2710.0,2710.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,flexible,0,0,1,0.86
2691.0,,,0.0,1.0,1.0,0.0,47.63339395777785,-122.37191994372272,1,House,2,1.0,1.0,1.0,,75.0,,,1,0.0,1,1125,1,30,60,90,365,0,,,,,,,,,,0,0,flexible,0,0,1,
2914.0,,,0.0,1.0,1.0,0.0,47.63851671212965,-122.36958103291498,1,House,5,2.5,3.0,3.0,,600.0,500.0,150.0,1,0.0,3,1125,1,0,0,0,212,1,2844.0,2844.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,0.18
3247.0,0.67,1.0,0.0,2.0,1.0,1.0,47.63139734518299,-122.367766870679,1,House,8,2.5,3.0,5.0,,450.0,500.0,200.0,6,50.0,4,1125,1,0,3,33,293,8,2860.0,2800.0,100.0,10.0,10.0,9.0,10.0,10.0,10.0,0,0,strict,0,0,2,1.3
4865.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63875224201261,-122.36797266885502,1,House,5,1.0,2.0,3.0,,150.0,250.0,35.0,1,0.0,1,1125,1,0,0,0,49,0,,,,,,,,,,0,0,flexible,0,0,1,
3837.0,1.0,1.0,1.0,5.0,1.0,1.0,47.63926602026095,-122.37472581108145,1,Camper/RV,2,1.0,1.0,1.0,,45.0,150.0,25.0,1,0.0,2,7,1,22,49,49,107,80,3223.0,2678.0,95.0,10.0,10.0,10.0,10.0,9.0,9.0,0,0,strict,1,1,5,4.38
3860.0,1.0,1.0,0.0,5.0,1.0,1.0,47.62990711611138,-122.36894813824875,1,Apartment,6,2.0,3.0,3.0,,300.0,500.0,125.0,1,0.0,2,1125,1,24,54,84,356,6,2748.0,2678.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,moderate,0,0,1,2.47
3654.0,0.71,1.0,0.0,1.0,1.0,1.0,47.63981586823574,-122.37433846349175,1,Apartment,3,1.0,1.0,2.0,,80.0,,65.0,3,50.0,2,1125,1,0,1,30,305,4,3041.0,2839.0,85.0,8.0,9.0,7.0,10.0,9.0,9.0,0,0,strict,0,0,1,0.33
3723.0,0.98,1.0,1.0,6.0,1.0,1.0,47.63900777818944,-122.36532007300232,1,Apartment,4,1.0,1.0,1.0,,175.0,,40.0,1,0.0,2,365,1,19,46,62,323,38,3289.0,2761.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,strict,1,1,6,1.86
3712.0,0.97,1.0,0.0,9.0,1.0,1.0,47.63508504491007,-122.36444347330422,1,House,6,1.5,3.0,3.0,,325.0,500.0,100.0,6,60.0,2,1125,1,23,50,77,162,68,3609.0,2690.0,92.0,9.0,9.0,10.0,9.0,10.0,9.0,0,0,strict,0,0,8,2.18
2944.0,0.6,1.0,0.0,1.0,1.0,1.0,47.640633234573535,-122.37270939338376,1,House,4,3.0,3.0,2.0,,175.0,200.0,80.0,1,0.0,4,120,1,0,0,9,213,8,2858.0,2708.0,88.0,9.0,9.0,9.0,9.0,10.0,9.0,0,0,flexible,0,0,1,1.31
3035.0,0.71,1.0,0.0,1.0,1.0,1.0,47.63812148697112,-122.37578997278467,1,House,7,3.5,4.0,3.0,,222.0,500.0,250.0,7,75.0,2,1125,1,0,0,0,2,5,2826.0,2729.0,75.0,8.0,9.0,8.0,9.0,9.0,8.0,0,1,strict,0,0,1,0.99
3514.0,1.0,1.0,0.0,1.0,1.0,0.0,47.62981553345287,-122.36621233485974,1,Apartment,4,1.0,2.0,2.0,,159.0,250.0,99.0,1,0.0,1,1125,1,11,38,68,309,62,3494.0,2704.0,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,strict,0,0,1,2.27
2831.0,1.0,1.0,0.0,2.0,1.0,1.0,47.639810187873806,-122.37380062876858,1,Apartment,4,1.0,1.0,2.0,,125.0,,50.0,2,25.0,2,365,1,30,60,90,353,19,2806.0,2712.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,moderate,0,0,2,4.35
3632.0,0.5,,0.0,1.0,1.0,1.0,47.63556952470362,-122.3616525946424,1,House,8,3.0,3.0,3.0,,348.0,750.0,150.0,6,20.0,3,1125,1,0,0,0,153,5,2829.0,2799.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,strict,0,0,1,0.97
3159.0,0.31,1.0,0.0,1.0,1.0,0.0,47.63497873047923,-122.35886941246471,1,House,1,1.0,1.0,1.0,,45.0,,,1,0.0,1,1125,1,28,58,88,363,7,2908.0,2703.0,97.0,9.0,8.0,10.0,10.0,10.0,10.0,0,0,flexible,0,0,1,0.9
2831.0,1.0,1.0,0.0,2.0,1.0,1.0,47.63936210298089,-122.37240255654484,1,Apartment,4,1.0,1.0,2.0,,150.0,,50.0,2,25.0,2,365,1,16,46,76,351,2,2747.0,2693.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,moderate,0,0,2,0.83
4048.0,1.0,1.0,1.0,1.0,1.0,1.0,47.6346162843086,-122.3580227325536,1,Apartment,2,1.0,0.0,1.0,,80.0,,20.0,1,0.0,3,1125,1,12,38,40,201,11,2842.0,2814.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,flexible,0,0,1,1.98
3139.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63800137747846,-122.36100481691408,1,Apartment,4,1.0,1.0,2.0,,110.0,100.0,40.0,2,15.0,2,1125,1,19,46,76,351,71,3128.0,2679.0,90.0,10.0,8.0,10.0,10.0,10.0,9.0,0,0,moderate,0,0,1,4.7
3545.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63199585097701,-122.3716576650487,1,House,3,1.0,1.0,2.0,,148.0,,100.0,2,20.0,3,365,1,0,13,43,310,9,3257.0,2743.0,91.0,9.0,10.0,9.0,9.0,10.0,10.0,0,0,strict,1,1,1,0.46
4013.0,,,0.0,1.0,1.0,1.0,47.63868624334983,-122.37079986877468,1,House,4,1.5,2.0,2.0,,350.0,500.0,100.0,4,0.0,2,30,1,0,3,33,308,41,3565.0,2833.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0,moderate,0,0,1,1.38
3226.0,1.0,1.0,1.0,1.0,1.0,1.0,47.633650043720536,-122.36044969320191,1,Apartment,3,1.5,1.0,2.0,,150.0,,50.0,1,0.0,2,1125,1,8,34,64,339,18,2836.0,2680.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,3.35
2898.0,0.5,1.0,0.0,1.0,1.0,1.0,47.63430017546052,-122.35705980444612,1,House,5,1.0,1.0,1.0,,150.0,,,1,0.0,1,1125,1,0,0,11,285,9,2811.0,2782.0,100.0,10.0,10.0,9.0,9.0,10.0,10.0,0,0,flexible,0,0,1,1.99
3508.0,0.5,1.0,0.0,1.0,1.0,1.0,47.62834386974812,-122.36640542137962,1,Apartment,2,1.0,0.0,1.0,,100.0,,,1,0.0,1,1125,1,28,58,87,87,20,2937.0,2678.0,92.0,9.0,9.0,9.0,9.0,9.0,9.0,0,0,flexible,0,0,1,2.29
3345.0,0.9,1.0,0.0,1.0,1.0,1.0,47.63539394059413,-122.36899114110729,1,Bungalow,10,3.0,4.0,4.0,,349.0,,200.0,1,0.0,1,1125,1,30,60,90,354,0,,,,,,,,,,0,0,strict,0,0,1,
3890.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63803515893716,-122.36091010563622,1,Bungalow,2,1.0,0.0,1.0,,110.0,,50.0,1,0.0,2,1125,1,30,60,89,89,3,2760.0,2680.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,1.06
3003.0,,,0.0,1.0,1.0,1.0,47.63933158548954,-122.36159942269484,1,House,4,1.0,1.0,2.0,,160.0,100.0,55.0,2,25.0,2,1125,1,0,0,20,295,1,2865.0,2865.0,100.0,8.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,0.16
3675.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63530805145543,-122.36653170901198,1,House,4,1.0,1.0,3.0,,130.0,140.0,75.0,2,25.0,3,1125,1,30,60,89,89,26,3650.0,2682.0,95.0,10.0,10.0,9.0,10.0,10.0,9.0,0,1,moderate,0,0,1,0.8
2825.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63737488413853,-122.36941092468903,1,House,2,1.0,0.0,1.0,,99.0,,50.0,2,50.0,1,1125,1,25,51,81,142,2,2691.0,2690.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,moderate,0,0,1,2.0
3012.0,1.0,1.0,0.0,1.0,1.0,1.0,47.63829756707327,-122.37377871072084,0,Apartment,2,1.0,0.0,1.0,,100.0,,40.0,1,0.0,1,1125,1,0,15,29,29,0,,,,,,,,,,0,0,flexible,0,0,1,
3887.0,,,0.0,2.0,1.0,1.0,47.63175343884966,-122.37127173011557,1,Apartment,3,1.0,1.0,1.0,,137.0,,20.0,2,20.0,2,1125,1,0,0,28,303,3,2815.0,2799.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,moderate,0,0,2,0.64
